Movie Name,Release Year,Director,Age Difference,Actor 1 Name,Actor 1 Gender,Actor 1 Birthdate,Actor 1 Age,Actor 2 Name,Actor 2 Gender,Actor 2 Birthdate,Actor 2 Age
Harold and Maude,1971,Hal Ashby,52,Bud Cort,man,29/03/1948,23,Ruth Gordon,woman,1896-10-30,75
Venus,2006,Roger Michell,50,Peter O'Toole,man,2/08/1932,,Jodie Whittaker,woman,3/06/1982,24
The Quiet American,2002,Phillip Noyce,49,Michael Caine,man,14/03/1933,69,Do Thi Hai Yen,woman,1/10/1982,20
The Big Lebowski,1998,Joel Coen,45,David Huddleston,man,17/09/1930,68,Tara Reid,woman,8/11/1975,23
Beginners,2010,Mike Mills,43,Christopher Plummer,man,13/12/1929,81,Goran Visnjic,man,9/09/1972,38
Poison Ivy,1992,Katt Shea,42,Tom Skerritt,man,25/08/1933,59,Drew Barrymore,woman,,17
Whatever Works,2009,,40,Larry David,man,2/07/1947,62,Evan Rachel Wood,,7/09/1987,22
Entrapment,1999,Jon Amiel,39,Sean Connery,man,25/08/1930,,Catherine Zeta-Jones,woman,25/09/1969,30
Husbands and Wives,1992,Woody Allen,38,Woody Allen,man,1/12/1935,57,Juliette Lewis,woman,21/06/1973,19
,1999,Paul Thomas Anderson,38,Jason Robards,man,,77,Julianne Moore,woman,3/12/1960,39
Indiana Jones and the Last Crusade,1989,Steven Spielberg,36,Sean Connery,man,25/08/1930,59,Alison Doody,woman,9/03/1966,
Mr. Peabody and the Mermaid,1948,Irving Pichel,36,,man,1892-06-29,56,,woman,16/08/1928,20
First Knight,1995,Jerry Zucker,35,Sean Connery,man,25/08/1930,65,Julia Ormond,woman,4/01/1965,30
Something's Gotta Give,2003,Nancy Meyers,35,Jack Nicholson,man,22/04/1937,,Amanda Peet,,11/01/1972,31
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry,34,Tom Wilkinson,man,5/02/1948,56,Kirsten Dunst,woman,30/04/1982,
Lost in Translation,2003,Sofia Coppola,,Bill Murray,man,,53,Scarlett Johansson,woman,22/11/1984,19
Shopgirl,2005,Anand Tucker,34,Steve Martin,man,14/08/1945,60,Claire Danes,,12/04/1979,26
